participant_number,status,total_source_tests,invalid_test_count,non_trivial_test_count,trivial_test_count,assertionless_test_count,uncertain_test_count,test_file,test_file_validity,test_file_valid_instance_count,test_file_total_instance_count,test_file_generated_nodeids,test_spec,test_spec_validity,test_spec_valid_instance_count,test_spec_total_instance_count,test_spec_generated_nodeids,test_core_after,test_core_after_validity,test_core_after_valid_instance_count,test_core_after_total_instance_count,test_core_after_generated_nodeids,test_parse_fail,test_parse_fail_validity,test_parse_fail_valid_instance_count,test_parse_fail_total_instance_count,test_parse_fail_generated_nodeids,test_non_utf8,test_non_utf8_validity,test_non_utf8_valid_instance_count,test_non_utf8_total_instance_count,test_non_utf8_generated_nodeids,assertion_score
1,collected,5,0,5,0,0,0,non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_file""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_spec""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_core_after""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_parse_fail""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_non_utf8""]",1.000000
2,collected,5,0,5,0,0,0,non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_file""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_spec""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_core_after""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_parse_fail""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_non_utf8""]",1.000000
3,collected,5,0,5,0,0,0,non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_file""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_spec""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_core_after""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_parse_fail""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_non_utf8""]",1.000000
4,collected,5,5,0,0,0,0,invalid,invalid,0,1,"[""tests/task/task.py::test_file""]",invalid,invalid,0,1,"[""tests/task/task.py::test_spec""]",invalid,invalid,0,1,"[""tests/task/task.py::test_core_after""]",invalid,invalid,0,1,"[""tests/task/task.py::test_parse_fail""]",invalid,invalid,0,1,"[""tests/task/task.py::test_non_utf8""]",
5,collected,5,0,3,2,0,0,non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_file""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_spec""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_core_after""]",trivial,fully_valid,1,1,"[""tests/task/task.py::test_parse_fail""]",trivial,fully_valid,1,1,"[""tests/task/task.py::test_non_utf8""]",0.600000
6,collected,5,5,0,0,0,0,invalid,invalid,0,1,"[""tests/task/task.py::test_file""]",invalid,invalid,0,0,[],invalid,invalid,0,0,[],invalid,invalid,0,0,[],invalid,invalid,0,0,[],
7,collected,5,0,5,0,0,0,non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_file""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_spec""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_core_after""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_parse_fail""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_non_utf8""]",1.000000
8,collected,5,4,0,0,0,1,uncertain,fully_valid,1,1,"[""tests/task/task.py::test_file""]",invalid,invalid,0,1,"[""tests/task/task.py::test_spec""]",invalid,invalid,0,0,[],invalid,invalid,0,0,[],invalid,invalid,0,0,[],0.000000
9,collected,5,3,0,0,2,0,invalid,invalid,0,1,"[""tests/task/task.py::test_file""]",invalid,invalid,0,1,"[""tests/task/task.py::test_spec""]",invalid,invalid,0,0,[],assertionless,fully_valid,1,1,"[""tests/task/task.py::test_parse_fail""]",assertionless,fully_valid,1,1,"[""tests/task/task.py::test_non_utf8""]",0.000000
10,collected,5,0,5,0,0,0,non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_file""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_spec""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_core_after""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_parse_fail""]",non_trivial,fully_valid,1,1,"[""tests/task/task.py::test_non_utf8""]",1.000000
