participant_number,status,group,valid_tests_included,participant_statement_coverage,participant_branch_coverage,specified_estimated_adjusted_mutation_score,specified_mutation_score_ci95_lower,specified_mutation_score_ci95_upper,execution_metric_status,execution_time_seconds,statement_execution_efficiency_per_second,branch_execution_efficiency_per_second,mutation_execution_efficiency_per_second,mutation_execution_efficiency_ci95_lower_per_second,mutation_execution_efficiency_ci95_upper_per_second
1,collected,Manual,5,0.719699,0.625189,0.683744569378211,0.6588792718905601,0.7105602434951208,collected,0.217666333,3.306432327318,2.872235643351,3.141250922706,3.027015077663,3.264447164161
2,collected,AI,5,0.719699,0.625189,0.6880425335876458,0.663015388268059,0.7150332198024474,collected,0.223280083,3.223301381521,2.800021352554,3.081522204502,2.969433634025,3.202404845946
3,collected,AI,5,0.719699,0.625189,0.6913340651028935,0.6661927653222414,0.7184473904965802,collected,0.223847708,3.215127849332,2.792921158701,3.088412525103,2.976098219966,3.209536505491
4,collected,Manual,0,,,0,0,0,no_valid_tests,,,,,,
5,collected,Manual,5,0.714782,0.62368,0.6868621234081405,0.6618224092500441,0.7138710722516383,collected,0.386794125,1.847964986542,1.612434004782,1.775782203021,1.711045660919,1.845609915227
6,collected,Manual,0,,,0,0,0,no_valid_tests,,,,,,
7,collected,AI,5,0.719988,0.625943,0.6925018137646739,0.6673012923267927,0.7196804243422457,collected,0.219932958,3.273670333666,2.84606275336,3.148695038989,3.034112296743,3.272271836321
8,collected,Manual,1,0.574197,0.388386,0.40643807231812246,0.39183859213327693,0.4221675775449995,collected,0.183420125,3.130501628434,2.117466662941,2.215885919378,2.136290072495,2.301642622613
9,collected,Manual,3,0.330633,0.124434,0.08054978614337585,0.07771229578808488,0.08360233819985807,collected,0.123509125,2.676992489421,1.00748831311,0.652176801863,0.629202868922,0.67689199644
10,collected,AI,5,0.719988,0.625943,0.6892082779641029,0.664122046768524,0.7162640982821125,collected,0.219952458,3.273380104713,2.84581043418,3.133442036661,3.019389066198,3.256449620045
11,collected,AI,656,0.719699,0.625189,0.6926948576105929,0.667593080068928,0.7197580601031411,collected,0.77843375,0.924547528932,0.803137068505,0.889857174886,0.857610657386,0.924623399362
12,collected,AI,5,0.719699,0.625189,0.6913340651028935,0.6661927653222414,0.7184473904965802,collected,0.225664167,3.189248029795,2.770439845684,3.063552686692,2.952142443254,3.183701692864
13,not_participated,,,,,,,,,,,,,,
14,collected,Manual,3,0.57709,0.393665,0.4122619547496024,0.3974402993962314,0.42823191518864784,collected,0.184702167,3.124435459385,2.131350196882,2.2320363721,2.151790127055,2.318499680562
15,not_participated,,,,,,,,,,,,,,
16,collected,Manual,4,0.716517,0.622926,0.5171957810843011,0.49830772207055984,0.5375721343871496,collected,0.305843708,2.342755404993,2.036746167098,1.691046006689,1.62928878063,1.757669425023
