participant_number,status,metric_status,valid_tests_included,invalid_tests_excluded,measurement_count,execution_time_seconds,mean_seconds,standard_deviation_seconds,minimum_seconds,maximum_seconds,first_quartile_seconds,third_quartile_seconds,interquartile_range_seconds,median_absolute_deviation_seconds,coefficient_of_variation,cv_review_threshold,cv_review_required
1,collected,collected,5,0,15,0.217666333,0.219416800,0.006877807,0.214694167,0.242409584,0.215574270,0.219989687,0.004415416,0.002439542,0.031345854,0.050000000,False
2,collected,collected,5,0,15,0.223280083,0.223429314,0.001502393,0.220657208,0.226199709,0.222715438,0.224284730,0.001569292,0.000820374,0.006724243,0.050000000,False
3,collected,collected,5,0,15,0.223847708,0.224233456,0.001744105,0.221323209,0.227558291,0.223288084,0.225527270,0.002239187,0.001319708,0.007778077,0.050000000,False
4,collected,no_valid_tests,0,5,,,,,,,,,,,,,
5,collected,collected,5,0,15,0.386794125,0.386901497,0.001866740,0.384791250,0.389532000,0.385142229,0.388655937,0.003513708,0.001714875,0.004824846,0.050000000,False
6,collected,no_valid_tests,0,1,,,,,,,,,,,,,
7,collected,collected,5,0,15,0.219932958,0.219832039,0.001071776,0.218375417,0.221809750,0.219006459,0.220476187,0.001469729,0.000894376,0.004875429,0.050000000,False
8,collected,collected,1,1,15,0.183420125,0.183775181,0.002191779,0.181332959,0.189492917,0.182041605,0.184877396,0.002835792,0.001507583,0.011926412,0.050000000,False
9,collected,collected,3,2,15,0.123509125,0.123957208,0.001480574,0.121880375,0.126568792,0.122732355,0.125153854,0.002421500,0.001116333,0.011944233,0.050000000,False
10,collected,collected,5,0,15,0.219952458,0.220303997,0.001820484,0.217172250,0.224020333,0.219216020,0.221728979,0.002512958,0.001406166,0.008263510,0.050000000,False
11,collected,collected,656,0,15,0.778433750,0.783057128,0.012208268,0.770986459,0.806820042,0.773253625,0.787033771,0.013780146,0.006599833,0.015590520,0.050000000,False
12,collected,collected,5,0,15,0.225664167,0.225613581,0.002003193,0.222413459,0.228772417,0.224073063,0.227254854,0.003181792,0.001672667,0.008878866,0.050000000,False
13,not_participated,,,,,,,,,,,,,,,,
14,collected,collected,3,1,15,0.184702167,0.184818086,0.001362877,0.182135917,0.187587250,0.184389375,0.185127084,0.000737708,0.000408000,0.007374154,0.050000000,False
15,not_participated,,,,,,,,,,,,,,,,
16,collected,collected,4,1,15,0.305843708,0.308868380,0.010835559,0.300741583,0.336256708,0.303440354,0.307860792,0.004420438,0.002455458,0.035081477,0.050000000,False
