participant_number,status,group,valid_tests_included,participant_statement_coverage,participant_branch_coverage,specified_estimated_adjusted_mutation_score,specified_mutation_score_ci95_lower,specified_mutation_score_ci95_upper,generation_time_seconds,statement_generation_efficiency_per_second,branch_generation_efficiency_per_second,mutation_generation_efficiency_per_second,mutation_generation_efficiency_ci95_lower_per_second,mutation_generation_efficiency_ci95_upper_per_second
1,collected,Manual,5,0.719699,0.625189,0.683744569378211,0.6588792718905601,0.7105602434951208,3337,0.00021567246,0.000187350614,0.000204897983,0.00019744659,0.000212933846
2,collected,AI,5,0.719699,0.625189,0.6880425335876458,0.663015388268059,0.7150332198024474,1462,0.000492270178,0.000427625855,0.000470617328,0.000453498898,0.00048907881
3,collected,AI,5,0.719699,0.625189,0.6913340651028935,0.6661927653222414,0.7184473904965802,2105,0.000341899762,0.0002970019,0.000328424734,0.000316481124,0.000341305174
4,collected,Manual,0,,,0,0,0,5400,,,0,0,0
5,collected,Manual,5,0.714782,0.62368,0.6868621234081405,0.6618224092500441,0.7138710722516383,4124,0.000173322502,0.000151231814,0.000166552406,0.000160480701,0.000173101618
6,collected,Manual,0,,,0,0,0,3600,,,0,0,0
7,collected,AI,5,0.719988,0.625943,0.6925018137646739,0.6673012923267927,0.7196804243422457,1490,0.000483213423,0.000420095973,0.000464766318,0.000447853216,0.000483006996
8,collected,Manual,1,0.574197,0.388386,0.40643807231812246,0.39183859213327693,0.4221675775449995,5411,0.000106116614,0.000071777121,0.000075113301,0.00007241519,0.000078020251
9,collected,Manual,3,0.330633,0.124434,0.08054978614337585,0.07771229578808488,0.08360233819985807,5111,0.000064690472,0.000024346312,0.000015760083,0.00001520491,0.000016357335
10,collected,AI,5,0.719988,0.625943,0.6892082779641029,0.664122046768524,0.7162640982821125,2567,0.000280478379,0.000243842228,0.000268487837,0.00025871525,0.000279027697
11,collected,AI,656,0.719699,0.625189,0.6926948576105929,0.667593080068928,0.7197580601031411,2254,0.00031929858,0.000277368678,0.000307318038,0.000296181491,0.000319324783
12,collected,AI,5,0.719699,0.625189,0.6913340651028935,0.6661927653222414,0.7184473904965802,2279,0.000315795963,0.00027432602,0.000303349743,0.000292318019,0.000315246771
13,not_participated,,,,,,,,,,,,,
14,collected,Manual,3,0.57709,0.393665,0.4122619547496024,0.3974402993962314,0.42823191518864784,5400,0.000106868519,0.000072900926,0.000076344806,0.000073600055,0.000079302207
15,not_participated,,,,,,,,,,,,,
16,collected,Manual,4,0.716517,0.622926,0.5171957810843011,0.49830772207055984,0.5375721343871496,4747,0.000150941015,0.000131225195,0.000108952134,0.000104973188,0.000113244604
