participant_number,status,group,comprehension_time,comprehension_time_seconds,total_time,total_time_seconds,generation_time_seconds,comprehension_included_in_total
1,collected,Manual,00:04:20,260,00:55:37,3337,3337,true
2,collected,AI,00:08:09,489,00:24:22,1462,1462,true
3,collected,AI,00:05:10,310,00:35:05,2105,2105,true
4,collected,Manual,00:09:34,574,01:30:00,5400,5400,true
5,collected,Manual,00:13:26,806,01:08:44,4124,4124,true
6,collected,Manual,00:34:56,2096,01:00:00,3600,3600,true
7,collected,AI,00:06:42,402,00:24:50,1490,1490,true
8,collected,Manual,00:25:47,1547,01:30:11,5411,5411,true
9,collected,Manual,00:03:44,224,01:25:11,5111,5111,true
10,collected,AI,00:16:49,1009,00:42:47,2567,2567,true
11,collected,AI,00:05:46,346,00:37:34,2254,2254,true
12,collected,AI,00:05:49,349,00:37:59,2279,2279,true
13,not_participated,,,,,,,
14,collected,Manual,00:11:30,690,01:30:00,5400,5400,true
15,not_participated,,,,,,,
16,collected,Manual,00:09:45,585,01:19:07,4747,4747,true
